order_id,payment_method,payment_status
ORD000178,Cash on Delivery,Paid
ORD000179,UPI,Paid
ORD000180,Credit Card,Paid
ORD000181,UPI,Paid
ORD000182,UPI,Paid
ORD000183,UPI,Refunded
ORD000184,Credit Card,Paid
ORD000185,UPI,Paid
ORD000186,Credit Card,Paid
ORD000187,UPI,Paid
ORD000188,Cash on Delivery,Paid
ORD000189,Debit Card,Refunded
ORD000190,Debit Card,Paid
ORD000191,Cash on Delivery,Paid
ORD000192,Credit Card,Paid
ORD000193,Credit Card,Paid
ORD000194,Debit Card,Paid
ORD000195,UPI,Paid
ORD000196,UPI,Paid
ORD000197,Cash on Delivery,Paid
ORD000198,Credit Card,Paid
ORD000199,UPI,Paid
ORD000200,Debit Card,Paid
ORD000201,Cash on Delivery,Paid
ORD000202,Net Banking,Paid
ORD000203,Wallet,Refunded
ORD000204,UPI,Paid
ORD000205,Credit Card,Paid
ORD000206,Cash on Delivery,Failed
ORD000207,UPI,Paid
ORD000208,UPI,Paid
ORD000209,UPI,Paid
ORD000210,UPI,Paid
ORD000211,Net Banking,Paid
ORD000212,Debit Card,Paid
ORD000213,UPI,Refunded
ORD000214,Cash on Delivery,Refunded
ORD000215,Debit Card,Refunded
ORD000216,Cash on Delivery,Paid
ORD000217,UPI,Paid
ORD000218,Net Banking,Paid
ORD000219,UPI,Paid
ORD000220,Debit Card,Paid
ORD000221,Credit Card,Paid
ORD000222,UPI,Failed
ORD000223,Net Banking,Paid
ORD000224,Debit Card,Paid
ORD000225,Debit Card,Paid
ORD000226,Cash on Delivery,Paid
ORD000227,Net Banking,Paid
ORD000228,Cash on Delivery,Paid
ORD000229,Debit Card,Paid
ORD000230,Credit Card,Paid
ORD000231,UPI,Paid
ORD000232,Debit Card,Paid
ORD000233,Cash on Delivery,Failed
ORD000234,Debit Card,Paid
ORD000235,Wallet,Refunded
ORD000236,UPI,Paid
ORD000237,UPI,Paid
ORD000238,Debit Card,Paid
ORD000239,Wallet,Failed
ORD000240,Credit Card,Paid
ORD000241,UPI,Paid
ORD000242,Debit Card,Paid
ORD000243,Credit Card,Paid
ORD000244,Cash on Delivery,Failed
ORD000245,Credit Card,Paid
ORD000246,Credit Card,Paid
ORD000247,UPI,Paid
ORD000248,Net Banking,Paid
ORD000249,UPI,Paid
ORD000250,UPI,Paid
ORD000251,Debit Card,Paid
ORD000252,Cash on Delivery,Paid
ORD000253,UPI,Paid
ORD000254,Credit Card,Paid
ORD000255,UPI,Paid
ORD000256,Cash on Delivery,Paid
ORD000257,UPI,Paid
ORD000258,UPI,Paid
ORD000259,Credit Card,Paid
ORD000260,Wallet,Paid
ORD000261,UPI,Paid
ORD000262,Cash on Delivery,Refunded
ORD000263,Credit Card,Paid
ORD000264,UPI,Paid
ORD000265,Net Banking,Refunded
ORD000266,Credit Card,Paid
ORD000267,Debit Card,Paid
ORD000268,Credit Card,Refunded
ORD000269,Debit Card,Paid
ORD000270,UPI,Paid
ORD000271,Wallet,Paid
ORD000272,Credit Card,Paid
ORD000273,Cash on Delivery,Failed
ORD000274,Credit Card,Refunded
ORD000275,UPI,Paid
ORD000276,Debit Card,Refunded
ORD000277,Wallet,Paid
ORD000278,Debit Card,Paid
ORD000279,Cash on Delivery,Paid
ORD000280,UPI,Refunded
ORD000281,UPI,Paid
ORD000282,UPI,Refunded
ORD000283,Credit Card,Paid
ORD000284,Debit Card,Paid
ORD000285,Credit Card,Paid
ORD000286,Debit Card,Refunded
ORD000287,Debit Card,Paid
ORD000288,UPI,Paid
ORD000289,UPI,Paid
ORD000290,Debit Card,Paid
ORD000291,Debit Card,Paid
ORD000292,Credit Card,Paid
ORD000293,Debit Card,Paid
ORD000294,Credit Card,Paid
ORD000295,Net Banking,Paid
ORD000296,Credit Card,Failed
ORD000297,UPI,Paid
ORD000298,UPI,Paid
ORD000299,Credit Card,Paid
ORD000300,UPI,Paid
ORD000301,Wallet,Refunded
ORD000302,Wallet,Paid
ORD000303,Wallet,Paid
ORD000304,Debit Card,Paid
ORD000305,UPI,Refunded
ORD000306,UPI,Refunded
ORD000307,UPI,Paid
ORD000308,UPI,Paid
ORD000309,UPI,Paid
ORD000310,UPI,Paid
ORD000311,Net Banking,Paid
ORD000312,UPI,Paid
ORD000313,Credit Card,Paid
ORD000314,Cash on Delivery,Paid
ORD000315,Net Banking,Paid
ORD000316,Credit Card,Paid
ORD000317,UPI,Refunded
ORD000318,UPI,Paid
ORD000319,Credit Card,Paid
ORD000320,Net Banking,Paid
ORD000321,Cash on Delivery,Paid
ORD000322,Cash on Delivery,Paid
ORD000323,Wallet,Paid
ORD000324,Credit Card,Paid
ORD000325,Credit Card,Paid
ORD000326,Credit Card,Paid
ORD000327,Debit Card,Paid
ORD000328,Credit Card,Paid
ORD000329,UPI,Refunded
ORD000330,Net Banking,Paid
ORD000331,UPI,Paid
ORD000332,Wallet,Paid
ORD000333,Credit Card,Paid
ORD000334,Debit Card,Paid
ORD000335,UPI,Paid
ORD000336,Debit Card,Paid
ORD000337,Debit Card,Paid
ORD000338,UPI,Paid
ORD000339,Cash on Delivery,Paid
ORD000340,Cash on Delivery,Refunded
ORD000341,UPI,Paid
ORD000342,Credit Card,Paid
ORD000343,Cash on Delivery,Refunded
ORD000344,Credit Card,Paid
ORD000345,UPI,Paid
ORD000346,UPI,Refunded
ORD000347,Debit Card,Paid
ORD000348,UPI,Paid
ORD000349,UPI,Paid
ORD000350,Credit Card,Refunded
ORD000351,UPI,Paid
ORD000352,Net Banking,Paid
ORD000353,Wallet,Paid
ORD000354,Credit Card,Paid
ORD000355,UPI,Failed
ORD000356,Net Banking,Paid
ORD000357,UPI,Failed
ORD000358,Cash on Delivery,Refunded
ORD000359,Cash on Delivery,Paid
ORD000360,Debit Card,Refunded
ORD000361,Cash on Delivery,Paid
ORD000362,UPI,Paid
ORD000363,Credit Card,Paid
ORD000364,Cash on Delivery,Paid
ORD000365,UPI,Paid
ORD000366,UPI,Paid
ORD000367,Debit Card,Paid
ORD000368,UPI,Refunded
ORD000369,Debit Card,Paid
ORD000370,Cash on Delivery,Refunded
ORD000371,UPI,Paid
ORD000372,Credit Card,Paid
ORD000373,UPI,Paid
ORD000374,UPI,Paid
ORD000375,Wallet,Paid
ORD000376,Cash on Delivery,Paid
ORD000377,UPI,Paid
ORD000378,Credit Card,Paid
ORD000379,Credit Card,Paid
ORD000380,Net Banking,Paid
ORD000381,Cash on Delivery,Failed
ORD000382,UPI,Paid
ORD000383,UPI,Paid
ORD000384,UPI,Failed
ORD000385,UPI,Paid
ORD000386,UPI,Refunded
ORD000387,UPI,Refunded
ORD000388,Credit Card,Paid
ORD000389,Wallet,Paid
ORD000390,UPI,Paid
ORD000391,UPI,Paid
ORD000392,UPI,Refunded
ORD000393,UPI,Paid
ORD000394,Credit Card,Paid
ORD000395,Cash on Delivery,Paid
ORD000396,Credit Card,Paid
ORD000397,Net Banking,Refunded
ORD000398,Credit Card,Paid
ORD000399,Credit Card,Paid
ORD000400,Net Banking,Paid
ORD000401,UPI,Paid
ORD000402,UPI,Paid
ORD000403,Cash on Delivery,Paid
ORD000404,Cash on Delivery,Paid
ORD000405,Credit Card,Paid
ORD000406,UPI,Paid
ORD000407,UPI,Paid
ORD000408,Cash on Delivery,Refunded
ORD000409,UPI,Paid
ORD000410,Credit Card,Paid
ORD000411,Wallet,Refunded
ORD000412,Cash on Delivery,Paid
ORD000413,Debit Card,Paid
ORD000414,Net Banking,Paid
ORD000415,Credit Card,Refunded
ORD000416,Credit Card,Paid
ORD000417,UPI,Paid
ORD000418,UPI,Refunded
ORD000419,UPI,Paid
ORD000420,Cash on Delivery,Paid
ORD000421,Wallet,Failed
ORD000422,Credit Card,Refunded
ORD000423,Wallet,Paid
ORD000424,Credit Card,Paid
ORD000425,Debit Card,Paid
ORD000426,Wallet,Refunded
ORD000427,Credit Card,Paid
ORD000428,Cash on Delivery,Paid
ORD000429,Cash on Delivery,Paid
ORD000430,UPI,Paid
ORD000431,Cash on Delivery,Paid
ORD000432,UPI,Paid
ORD000433,Cash on Delivery,Paid
ORD000434,Debit Card,Failed
ORD000435,Cash on Delivery,Paid
ORD000436,UPI,Paid
ORD000437,Credit Card,Paid
ORD000438,UPI,Paid
ORD000439,Debit Card,Refunded
ORD000440,Cash on Delivery,Paid
ORD000441,Credit Card,Paid
ORD000442,UPI,Refunded
ORD000443,Cash on Delivery,Paid
ORD000444,Debit Card,Paid
ORD000445,UPI,Paid
ORD000446,UPI,Refunded
ORD000447,Cash on Delivery,Paid
ORD000448,Debit Card,Paid
ORD000449,Cash on Delivery,Paid
ORD000450,Credit Card,Paid
ORD000451,UPI,Paid
ORD000452,Debit Card,Paid
ORD000453,Wallet,Paid
ORD000454,UPI,Refunded
ORD000455,Debit Card,Failed
ORD000456,UPI,Paid
ORD000457,Credit Card,Paid
ORD000458,Debit Card,Refunded
ORD000459,Cash on Delivery,Paid
ORD000460,Debit Card,Paid
ORD000461,UPI,Refunded
ORD000462,UPI,Paid
ORD000463,Cash on Delivery,Paid
ORD000464,Cash on Delivery,Paid
ORD000465,Net Banking,Paid
ORD000466,UPI,Paid
ORD000467,Net Banking,Paid
ORD000468,Credit Card,Paid
ORD000469,Net Banking,Paid
ORD000470,UPI,Paid
ORD000471,UPI,Paid
ORD000472,Debit Card,Paid
ORD000473,Credit Card,Paid
ORD000474,Debit Card,Paid
ORD000475,Cash on Delivery,Failed
ORD000476,UPI,Refunded
ORD000477,Net Banking,Failed
ORD000478,UPI,Paid
ORD000479,Cash on Delivery,Paid
ORD000480,UPI,Failed
ORD000481,Wallet,Paid
ORD000482,Wallet,Paid
ORD000483,Credit Card,Failed
ORD000484,Wallet,Paid
ORD000485,Cash on Delivery,Paid
ORD000486,UPI,Failed
ORD000487,UPI,Paid
ORD000488,UPI,Paid
ORD000489,Net Banking,Refunded
ORD000490,Debit Card,Paid
ORD000491,UPI,Paid
ORD000492,Credit Card,Failed
ORD000493,Cash on Delivery,Paid
ORD000494,Wallet,Paid
ORD000495,UPI,Paid
ORD000496,UPI,Paid
ORD000497,UPI,Failed
ORD000498,UPI,Refunded
ORD000499,Wallet,Paid
ORD000500,UPI,Refunded
ORD000501,Debit Card,Paid
ORD000502,Cash on Delivery,Paid
ORD000503,Net Banking,Paid
ORD000504,Credit Card,Paid
ORD000505,UPI,Paid
ORD000506,Credit Card,Paid
ORD000507,UPI,Paid
ORD000508,Credit Card,Paid
ORD000509,Credit Card,Refunded
ORD000510,UPI,Paid
ORD000511,Cash on Delivery,Paid
ORD000512,Wallet,Refunded
ORD000513,Cash on Delivery,Paid
ORD000514,UPI,Failed
ORD000515,Cash on Delivery,Paid
ORD000516,UPI,Paid
ORD000517,Cash on Delivery,Paid
ORD000518,UPI,Paid
ORD000519,Credit Card,Paid
ORD000520,Credit Card,Paid
ORD000521,UPI,Paid
ORD000522,UPI,Refunded
ORD000523,Credit Card,Failed
ORD000524,UPI,Paid
ORD000525,UPI,Paid
ORD000526,Credit Card,Paid
ORD000527,UPI,Paid
ORD000528,Wallet,Paid
ORD000529,UPI,Paid
ORD000530,Cash on Delivery,Paid
ORD000531,Credit Card,Paid
ORD000532,Cash on Delivery,Paid
ORD000533,UPI,Paid
ORD000534,Cash on Delivery,Paid
ORD000535,Debit Card,Paid
ORD000536,UPI,Refunded
ORD000537,Wallet,Paid
ORD000538,Wallet,Paid
ORD000539,Net Banking,Paid
ORD000540,UPI,Paid
ORD000541,UPI,Paid
ORD000542,Cash on Delivery,Paid
ORD000543,Credit Card,Paid
ORD000544,UPI,Failed
ORD000545,Credit Card,Failed
ORD000546,UPI,Paid
ORD000547,Cash on Delivery,Paid
ORD000548,Credit Card,Paid
ORD000549,UPI,Failed
ORD000550,Credit Card,Paid
ORD000551,Debit Card,Refunded
ORD000552,Debit Card,Paid
ORD000553,UPI,Paid
ORD000554,Cash on Delivery,Paid
ORD000555,Debit Card,Paid
ORD000556,Wallet,Paid
ORD000557,UPI,Paid
ORD000558,Credit Card,Paid
ORD000559,Credit Card,Paid
ORD000560,UPI,Paid
ORD000561,Wallet,Paid
ORD000562,Credit Card,Refunded
ORD000563,UPI,Paid
ORD000564,Cash on Delivery,Paid
ORD000565,Credit Card,Paid
ORD000566,Cash on Delivery,Paid
ORD000567,Net Banking,Paid
ORD000568,Debit Card,Paid
ORD000569,UPI,Paid
ORD000570,Cash on Delivery,Paid
ORD000571,UPI,Paid
ORD000572,UPI,Paid
ORD000573,Wallet,Failed
ORD000574,UPI,Paid
ORD000575,UPI,Paid
ORD000576,Net Banking,Paid
ORD000577,Wallet,Paid
ORD000578,Credit Card,Paid
ORD000579,UPI,Paid
ORD000580,UPI,Paid
ORD000581,Net Banking,Paid
ORD000582,UPI,Failed
ORD000583,UPI,Paid
ORD000584,Credit Card,Paid
ORD000585,Net Banking,Failed
ORD000586,Credit Card,Paid
ORD000587,Cash on Delivery,Paid
ORD000588,Net Banking,Paid
ORD000589,Cash on Delivery,Paid
ORD000590,Net Banking,Paid
ORD000591,Cash on Delivery,Paid
ORD000592,Debit Card,Refunded
ORD000593,Cash on Delivery,Paid
ORD000594,UPI,Paid
ORD000595,Debit Card,Paid
ORD000596,Credit Card,Paid
ORD000597,Wallet,Paid
ORD000598,Net Banking,Paid
ORD000599,Credit Card,Paid
ORD000600,UPI,Paid
ORD000601,Credit Card,Paid
ORD000602,UPI,Paid
ORD000603,Credit Card,Paid
ORD000604,Cash on Delivery,Paid
ORD000605,Wallet,Failed
ORD000606,Credit Card,Paid
ORD000607,Credit Card,Paid
ORD000608,UPI,Paid
ORD000609,UPI,Failed
ORD000610,UPI,Paid
ORD000611,Debit Card,Paid
ORD000612,Net Banking,Paid
ORD000613,Credit Card,Paid
ORD000614,Credit Card,Paid
ORD000615,Debit Card,Paid
ORD000616,Net Banking,Paid
ORD000617,Debit Card,Paid
ORD000618,Cash on Delivery,Paid
ORD000619,UPI,Paid
ORD000620,Cash on Delivery,Paid
ORD000621,Cash on Delivery,Paid
ORD000622,Cash on Delivery,Paid
ORD000623,Cash on Delivery,Paid
ORD000624,Debit Card,Refunded
ORD000625,Wallet,Paid
ORD000626,UPI,Refunded
ORD000627,UPI,Paid
ORD000628,UPI,Failed
ORD000629,Cash on Delivery,Paid
ORD000630,UPI,Paid
ORD000631,UPI,Paid
ORD000632,Cash on Delivery,Refunded
ORD000633,Credit Card,Paid
ORD000634,Cash on Delivery,Paid
ORD000635,Credit Card,Paid
ORD000636,Cash on Delivery,Paid
ORD000637,UPI,Paid
ORD000638,Wallet,Paid
ORD000639,Wallet,Paid
ORD000640,UPI,Paid
ORD000641,UPI,Paid
ORD000642,Debit Card,Refunded
ORD000643,Cash on Delivery,Paid
ORD000644,UPI,Paid
ORD000645,Debit Card,Paid
ORD000646,Debit Card,Paid
ORD000647,UPI,Paid
ORD000648,UPI,Paid
ORD000649,UPI,Paid
ORD000650,Cash on Delivery,Failed
ORD000651,UPI,Refunded
ORD000652,Debit Card,Paid
ORD000653,Debit Card,Paid
ORD000654,UPI,Paid
ORD000655,Debit Card,Paid
ORD000656,UPI,Paid
ORD000657,UPI,Paid
ORD000658,UPI,Paid
ORD000659,Credit Card,Paid
ORD000660,Debit Card,Paid
ORD000661,Wallet,Failed
ORD000662,Credit Card,Refunded
ORD000663,Net Banking,Paid
ORD000664,UPI,Paid
ORD000665,Debit Card,Paid
ORD000666,Debit Card,Paid
ORD000667,UPI,Paid
ORD000668,Wallet,Paid
ORD000669,Credit Card,Paid
ORD000670,Cash on Delivery,Paid
ORD000671,UPI,Refunded
ORD000672,UPI,Paid
ORD000673,Cash on Delivery,Paid
ORD000674,UPI,Paid
ORD000675,Net Banking,Paid
ORD000676,UPI,Paid
ORD000677,Debit Card,Paid
ORD000678,Credit Card,Paid
ORD000679,Cash on Delivery,Refunded
ORD000680,UPI,Paid
ORD000681,Credit Card,Paid
ORD000682,Cash on Delivery,Paid
ORD000683,UPI,Paid
ORD000684,Debit Card,Paid
ORD000685,Credit Card,Paid
ORD000686,Credit Card,Paid
ORD000687,UPI,Paid
ORD000688,Net Banking,Paid
ORD000689,Debit Card,Paid
ORD000690,UPI,Paid
ORD000691,UPI,Paid
ORD000692,Credit Card,Paid
ORD000693,Cash on Delivery,Paid
ORD000694,Debit Card,Paid
ORD000695,Cash on Delivery,Paid
ORD000696,Net Banking,Paid
ORD000697,Cash on Delivery,Paid
ORD000698,UPI,Refunded
ORD000699,UPI,Paid
ORD000700,Cash on Delivery,Refunded
ORD000701,Debit Card,Paid
ORD000702,UPI,Paid
ORD000703,UPI,Paid
ORD000704,UPI,Paid
ORD000705,Credit Card,Paid
ORD000706,UPI,Failed
ORD000707,Cash on Delivery,Paid
ORD000708,Net Banking,Failed
ORD000709,UPI,Paid
ORD000710,UPI,Paid
ORD000711,Debit Card,Paid
ORD000712,UPI,Paid
ORD000713,Cash on Delivery,Refunded
ORD000714,Credit Card,Paid
ORD000715,Wallet,Paid
ORD000716,UPI,Paid
ORD000717,UPI,Paid
ORD000718,UPI,Refunded
ORD000719,Cash on Delivery,Paid
ORD000720,Cash on Delivery,Paid
ORD000721,Net Banking,Paid
ORD000722,UPI,Paid
ORD000723,Net Banking,Paid
ORD000724,Net Banking,Paid
ORD000725,UPI,Paid
ORD000726,UPI,Failed
ORD000727,Credit Card,Paid
ORD000728,Debit Card,Paid
ORD000729,Cash on Delivery,Paid
ORD000730,Cash on Delivery,Paid
ORD000731,Credit Card,Paid
ORD000732,Wallet,Paid
ORD000733,Net Banking,Paid
ORD000734,UPI,Refunded
ORD000735,Cash on Delivery,Failed
ORD000736,UPI,Paid
ORD000737,Credit Card,Failed
ORD000738,UPI,Paid
ORD000739,Debit Card,Refunded
ORD000740,Credit Card,Refunded
ORD000741,Debit Card,Paid
ORD000742,Debit Card,Refunded
ORD000743,Net Banking,Failed
ORD000744,Cash on Delivery,Paid
ORD000745,Debit Card,Paid
ORD000746,Debit Card,Paid
ORD000747,UPI,Refunded
ORD000748,Credit Card,Paid
ORD000749,Credit Card,Paid
ORD000750,Credit Card,Paid
ORD000751,UPI,Paid
ORD000752,Cash on Delivery,Refunded
ORD000753,Cash on Delivery,Refunded
ORD000754,Net Banking,Paid
ORD000755,UPI,Paid
ORD000756,Net Banking,Paid
ORD000757,Credit Card,Paid
ORD000758,UPI,Paid
ORD000759,Net Banking,Paid
ORD000760,UPI,Paid
ORD000761,UPI,Paid
ORD000762,UPI,Paid
ORD000763,UPI,Failed
ORD000764,Credit Card,Paid
ORD000765,Credit Card,Paid
ORD000766,Credit Card,Paid
ORD000767,UPI,Paid
ORD000768,Debit Card,Paid
ORD000769,Debit Card,Paid
ORD000770,Net Banking,Paid
ORD000771,Debit Card,Paid
ORD000772,Debit Card,Paid
ORD000773,UPI,Paid
ORD000774,Credit Card,Paid
ORD000775,Cash on Delivery,Paid
ORD000776,Cash on Delivery,Paid
ORD000777,Debit Card,Refunded
ORD000778,Cash on Delivery,Paid
ORD000779,UPI,Paid
ORD000780,Wallet,Paid
ORD000781,Cash on Delivery,Paid
ORD000782,Cash on Delivery,Paid
ORD000783,Credit Card,Paid
ORD000784,Cash on Delivery,Paid
ORD000785,Wallet,Paid
ORD000786,Net Banking,Paid
ORD000787,Net Banking,Paid
ORD000788,Debit Card,Paid
ORD000789,Cash on Delivery,Paid
ORD000790,Cash on Delivery,Paid
ORD000791,Cash on Delivery,Failed
ORD000792,Wallet,Refunded
ORD000793,UPI,Paid
ORD000794,Cash on Delivery,Paid
ORD000795,Net Banking,Refunded
ORD000796,UPI,Paid
ORD000797,UPI,Paid
ORD000798,Cash on Delivery,Paid
ORD000799,UPI,Paid
ORD000800,Credit Card,Refunded
ORD000801,UPI,Paid
ORD000802,Cash on Delivery,Paid
ORD000803,Credit Card,Paid
ORD000804,Debit Card,Paid
ORD000805,UPI,Paid
ORD000806,UPI,Paid
ORD000807,Wallet,Paid
ORD000808,Credit Card,Paid
ORD000809,Cash on Delivery,Paid
ORD000810,Credit Card,Paid
ORD000811,Debit Card,Refunded
ORD000812,Net Banking,Paid
ORD000813,Cash on Delivery,Paid
ORD000814,Credit Card,Paid
ORD000815,UPI,Paid
ORD000816,Cash on Delivery,Paid
ORD000817,Debit Card,Paid
ORD000818,Debit Card,Paid
ORD000819,Debit Card,Paid
ORD000820,Debit Card,Paid
ORD000821,Net Banking,Paid
ORD000822,UPI,Paid
ORD000823,Debit Card,Paid
ORD000824,Cash on Delivery,Paid
ORD000825,Credit Card,Paid
ORD000826,Net Banking,Paid
ORD000827,UPI,Paid
ORD000828,Net Banking,Failed
ORD000829,Net Banking,Paid
ORD000830,Debit Card,Paid
ORD000831,UPI,Paid
ORD000832,Wallet,Paid
ORD000833,UPI,Failed
ORD000834,Net Banking,Paid
ORD000835,Debit Card,Paid
ORD000836,Debit Card,Paid
ORD000837,Debit Card,Paid
ORD000838,Debit Card,Paid
ORD000839,Wallet,Failed
ORD000840,Credit Card,Paid
ORD000841,Credit Card,Paid
ORD000842,UPI,Paid
ORD000843,Wallet,Paid
ORD000844,UPI,Paid
ORD000845,Cash on Delivery,Paid
ORD000846,Credit Card,Paid
ORD000847,Credit Card,Refunded
ORD000848,Wallet,Failed
ORD000849,Debit Card,Paid
ORD000850,Credit Card,Refunded
ORD000851,UPI,Refunded
ORD000852,Cash on Delivery,Failed
ORD000853,UPI,Paid
ORD000854,Cash on Delivery,Paid
ORD000855,Net Banking,Paid
ORD000856,Credit Card,Paid
ORD000857,Cash on Delivery,Refunded
ORD000858,UPI,Paid
ORD000859,UPI,Paid
ORD000860,Net Banking,Paid
ORD000861,UPI,Paid
ORD000862,UPI,Paid
ORD000863,Debit Card,Paid
ORD000864,UPI,Paid
ORD000865,Cash on Delivery,Paid
ORD000866,UPI,Paid
ORD000867,Cash on Delivery,Refunded
ORD000868,Credit Card,Paid
ORD000869,UPI,Paid
ORD000870,Cash on Delivery,Paid
ORD000871,UPI,Refunded
ORD000872,Cash on Delivery,Paid
ORD000873,Debit Card,Failed
ORD000874,Net Banking,Paid
ORD000875,UPI,Paid
ORD000876,UPI,Paid
ORD000877,UPI,Paid
ORD000878,UPI,Paid
ORD000879,Cash on Delivery,Paid
ORD000880,Net Banking,Paid
ORD000881,Net Banking,Paid
