order_id,customer_id,order_date,order_status,shipping_city
ORD000043,CUST08779,2025-12-02,Delivered,Delhi
ORD000044,CUST07210,2025-03-26,Cancelled,Hyderabad
ORD000045,CUST01129,2025-08-05,Delivered,Indore
ORD000046,CUST01359,2025-12-28,Delivered,Mumbai
ORD000047,CUST07765,2025-04-22,Delivered,Chennai
ORD000048,CUST04143,2025-07-06,Cancelled,Jaipur
ORD000049,CUST04854,2025-10-30,Cancelled,Ahmedabad
ORD000050,CUST07076,2025-01-25,Delivered,Mumbai
ORD000051,CUST08062,2024-09-11,Delivered,Agra
ORD000052,CUST03746,2025-10-23,Delivered,Rajkot
ORD000053,CUST04311,2024-10-07,Delivered,Kolkata
ORD000054,CUST06002,2024-01-16,Delivered,Jaipur
ORD000055,CUST08896,2025-02-17,Returned,Bhopal
ORD000056,CUST10199,2024-12-15,Delivered,Hyderabad
ORD000057,CUST11605,2024-10-31,Delivered,Nagpur
ORD000058,CUST07759,2025-12-03,Delivered,Bengaluru
ORD000059,CUST00489,2024-12-04,Delivered,Ludhiana
ORD000060,CUST08002,2025-10-27,Returned,Kanpur
ORD000061,CUST08820,2025-07-22,Delivered,Delhi
ORD000062,CUST01824,2025-01-24,Delivered,Delhi
ORD000063,CUST08928,2025-11-11,Delivered,Delhi
ORD000064,CUST05811,2025-05-12,Delivered,Kolkata
ORD000065,CUST05644,2025-05-09,Delivered,Bengaluru
ORD000066,CUST08887,2024-08-15,Delivered,Delhi
ORD000067,CUST04276,2024-10-01,Delivered,Bengaluru
ORD000068,CUST06105,2025-10-29,Shipped,Indore
ORD000069,CUST00483,2025-02-21,Returned,Bengaluru
ORD000070,CUST05304,2025-05-20,Delivered,Rajkot
ORD000071,CUST01270,2024-12-04,Delivered,Delhi
ORD000072,CUST04482,2025-10-24,Delivered,Mumbai
ORD000073,CUST04828,2025-08-26,Delivered,Kochi
ORD000074,CUST11675,2025-10-29,Returned,Bengaluru
ORD000075,CUST00533,2024-09-13,Shipped,Jaipur
ORD000076,CUST05786,2025-08-23,Delivered,Bengaluru
ORD000077,CUST01586,2025-09-11,Delivered,Hyderabad
ORD000078,CUST03459,2024-12-03,Shipped,Lucknow
ORD000079,CUST09308,2025-11-13,Delivered,Guwahati
ORD000080,CUST06209,2024-06-08,Delivered,Jaipur
ORD000081,CUST07649,2025-01-22,Delivered,Vadodara
ORD000082,CUST05471,2025-12-24,Delivered,Guwahati
ORD000083,CUST07337,2025-03-04,Delivered,Chennai
ORD000084,CUST06210,2025-08-13,Delivered,Pune
ORD000085,CUST07271,2025-08-16,Delivered,Delhi
ORD000086,CUST03777,2025-10-31,Delivered,Delhi
ORD000087,CUST10772,2025-11-09,Returned,Chandigarh
ORD000088,CUST10965,2025-10-10,Delivered,Delhi
ORD000089,CUST01509,2025-02-12,Returned,Hyderabad
ORD000090,CUST10257,2025-07-25,Delivered,Ludhiana
ORD000091,CUST03833,2024-12-11,Delivered,Chennai
ORD000092,CUST07867,2024-06-13,Delivered,Jaipur
ORD000093,CUST06701,2024-11-10,Delivered,Delhi
ORD000094,CUST09076,2024-10-25,Delivered,Ahmedabad
ORD000095,CUST08225,2025-09-06,Delivered,Ahmedabad
ORD000096,CUST05676,2025-11-12,Delivered,Kochi
ORD000097,CUST09344,2025-07-12,Delivered,Delhi
ORD000098,CUST11396,2025-12-23,Delivered,Lucknow
ORD000099,CUST03720,2025-06-01,Delivered,Delhi
ORD000100,CUST10985,2025-10-25,Returned,Pune
ORD000101,CUST09950,2024-11-06,Delivered,Hyderabad
ORD000102,CUST07977,2025-06-23,Delivered,Bengaluru
ORD000103,CUST00493,2025-04-05,Delivered,Noida
ORD000104,CUST09308,2025-11-12,Delivered,Guwahati
ORD000105,CUST06426,2024-10-02,Delivered,Delhi
ORD000106,CUST06361,2025-11-11,Shipped,Kochi
ORD000107,CUST09420,2025-09-28,Delivered,Ahmedabad
ORD000108,CUST04575,2025-09-22,Shipped,Mumbai
ORD000109,CUST05270,2025-01-01,Delivered,Hyderabad
ORD000110,CUST01166,2025-09-06,Delivered,Lucknow
ORD000111,CUST05397,2025-07-18,Delivered,Kolkata
ORD000112,CUST10961,2025-01-19,Returned,Surat
ORD000113,CUST07258,2025-08-23,Delivered,Patna
ORD000114,CUST04101,2024-03-31,Delivered,Delhi
ORD000115,CUST05534,2024-10-30,Delivered,Indore
ORD000116,CUST08799,2024-10-11,Delivered,Chennai
ORD000117,CUST11240,2025-12-03,Shipped,Ahmedabad
ORD000118,CUST10398,2024-12-11,Delivered,Ahmedabad
ORD000119,CUST03350,2024-10-29,Returned,Chennai
ORD000120,CUST11883,2024-12-05,Returned,Guwahati
ORD000121,CUST08464,2025-10-06,Delivered,Mumbai
ORD000122,CUST08460,2025-01-29,Shipped,Bengaluru
ORD000123,CUST08762,2025-05-18,Delivered,Ahmedabad
ORD000124,CUST07908,2025-06-27,Delivered,Kolkata
ORD000125,CUST02252,2025-11-09,Delivered,Delhi
ORD000126,CUST05692,2025-04-05,Delivered,Bengaluru
ORD000127,CUST10246,2025-07-12,Delivered,Coimbatore
ORD000128,CUST02070,2025-08-31,Returned,Mumbai
ORD000129,CUST06047,2025-10-02,Delivered,Pune
ORD000130,CUST05666,2025-10-31,Delivered,Hyderabad
ORD000131,CUST00923,2025-12-26,Delivered,Kolkata
ORD000132,CUST04409,2025-11-11,Returned,Kochi
ORD000133,CUST09473,2024-10-12,Delivered,Chennai
ORD000134,CUST05397,2024-04-10,Delivered,Kolkata
ORD000135,CUST05949,2025-06-23,Delivered,Delhi
ORD000136,CUST07610,2025-11-15,Delivered,Noida
ORD000137,CUST11687,2024-12-24,Shipped,Bengaluru
ORD000138,CUST08408,2025-06-09,Shipped,Indore
ORD000139,CUST01985,2025-10-10,Delivered,Ghaziabad
ORD000140,CUST08706,2024-11-10,Returned,Bengaluru
ORD000141,CUST06518,2025-02-04,Shipped,Kolkata
ORD000142,CUST03661,2024-08-03,Delivered,Lucknow
ORD000143,CUST00583,2025-07-06,Delivered,Kolkata
ORD000144,CUST09001,2025-09-12,Delivered,Guwahati
ORD000145,CUST09200,2024-12-01,Shipped,Mumbai
ORD000146,CUST08942,2024-12-22,Delivered,Bengaluru
ORD000147,CUST10459,2025-10-06,Delivered,Bengaluru
ORD000148,CUST10567,2024-11-23,Delivered,Surat
ORD000149,CUST07248,2025-03-20,Returned,Delhi
ORD000150,CUST06321,2024-12-17,Delivered,Bengaluru
ORD000151,CUST09647,2025-05-04,Delivered,Chennai
ORD000152,CUST11456,2025-06-09,Delivered,Bengaluru
ORD000153,CUST03629,2025-11-23,Delivered,Mumbai
ORD000154,CUST03143,2025-10-28,Delivered,Delhi
ORD000155,CUST07273,2025-11-15,Delivered,Delhi
ORD000156,CUST09419,2025-01-11,Delivered,Delhi
ORD000157,CUST09539,2025-12-16,Delivered,Delhi
ORD000158,CUST01021,2025-08-27,Delivered,Jaipur
ORD000159,CUST00707,2025-05-31,Delivered,Kolkata
ORD000160,CUST00330,2025-03-28,Delivered,Chennai
ORD000161,CUST07620,2025-12-05,Delivered,Delhi
ORD000162,CUST10367,2025-12-14,Delivered,Mumbai
ORD000163,CUST05494,2025-09-30,Cancelled,Delhi
ORD000164,CUST11355,2024-10-30,Delivered,Mumbai
ORD000165,CUST00254,2025-11-14,Cancelled,Mumbai
ORD000166,CUST01318,2025-11-07,Delivered,Bengaluru
ORD000167,CUST09139,2024-02-13,Delivered,Chandigarh
ORD000168,CUST08454,2025-10-10,Returned,Chennai
ORD000169,CUST09055,2025-07-06,Cancelled,Kolkata
ORD000170,CUST05328,2025-12-10,Delivered,Bhopal
ORD000171,CUST11477,2025-02-23,Delivered,Mumbai
ORD000172,CUST06210,2025-06-17,Delivered,Pune
ORD000173,CUST03870,2024-11-29,Delivered,Rajkot
ORD000174,CUST06107,2025-10-24,Shipped,Jaipur
ORD000175,CUST07771,2024-09-08,Delivered,Noida
ORD000176,CUST01778,2025-10-30,Delivered,Delhi
ORD000177,CUST06817,2025-06-25,Delivered,Bengaluru
ORD000178,CUST06802,2025-04-12,Delivered,Pune
ORD000179,CUST03055,2025-04-28,Delivered,Patna
ORD000180,CUST11543,2024-10-27,Delivered,Delhi
ORD000181,CUST07419,2025-08-03,Delivered,Ludhiana
ORD000182,CUST04296,2024-10-17,Delivered,Ghaziabad
ORD000183,CUST02248,2024-12-09,Shipped,Kolkata
ORD000184,CUST06038,2025-01-17,Shipped,Kanpur
ORD000185,CUST05615,2025-06-27,Delivered,Mumbai
ORD000186,CUST01263,2024-12-11,Delivered,Coimbatore
ORD000187,CUST04432,2025-10-31,Delivered,Chennai
ORD000188,CUST00896,2025-10-11,Delivered,Ghaziabad
ORD000189,CUST11754,2025-09-21,Returned,Bengaluru
ORD000190,CUST08885,2025-06-13,Delivered,Ahmedabad
ORD000191,CUST02820,2025-08-28,Delivered,Kanpur
ORD000192,CUST10805,2025-04-18,Delivered,Hyderabad
ORD000193,CUST01102,2025-02-15,Delivered,Delhi
ORD000194,CUST04026,2025-11-27,Cancelled,Hyderabad
ORD000195,CUST00035,2024-12-12,Shipped,Bengaluru
ORD000196,CUST07671,2025-10-02,Delivered,Bengaluru
ORD000197,CUST01930,2024-11-13,Delivered,Ghaziabad
ORD000198,CUST02820,2025-12-06,Shipped,Kanpur
ORD000199,CUST09476,2025-12-09,Delivered,Jaipur
ORD000200,CUST05401,2025-02-21,Delivered,Hyderabad
ORD000201,CUST05252,2024-02-18,Shipped,Bengaluru
ORD000202,CUST06976,2024-09-06,Delivered,Thane
ORD000203,CUST09335,2025-05-30,Cancelled,Indore
ORD000204,CUST03882,2025-10-31,Delivered,Kolkata
ORD000205,CUST03369,2025-12-08,Delivered,Ludhiana
ORD000206,CUST08405,2025-12-13,Cancelled,Delhi
ORD000207,CUST01209,2025-11-09,Delivered,Delhi
ORD000208,CUST01272,2024-06-13,Delivered,Bengaluru
ORD000209,CUST02170,2025-07-22,Delivered,Bengaluru
ORD000210,CUST03007,2025-08-05,Delivered,Rajkot
ORD000211,CUST06140,2025-12-11,Delivered,Kolkata
ORD000212,CUST01812,2025-11-18,Delivered,Kolkata
ORD000213,CUST11133,2025-12-16,Cancelled,Hyderabad
ORD000214,CUST02844,2024-10-16,Delivered,Nagpur
ORD000215,CUST05293,2025-12-19,Returned,Ahmedabad
ORD000216,CUST09320,2024-04-01,Delivered,Nashik
ORD000217,CUST04618,2025-07-05,Delivered,Mumbai
ORD000218,CUST07765,2025-05-30,Delivered,Chennai
ORD000219,CUST07250,2025-09-19,Delivered,Lucknow
ORD000220,CUST06322,2025-11-18,Delivered,Pune
ORD000221,CUST04618,2024-11-12,Delivered,Mumbai
ORD000222,CUST05375,2025-09-12,Delivered,Mumbai
ORD000223,CUST11344,2025-11-07,Delivered,Lucknow
ORD000224,CUST00023,2025-10-17,Shipped,Delhi
ORD000225,CUST01209,2025-01-14,Delivered,Delhi
ORD000226,CUST00794,2024-10-24,Delivered,Bengaluru
ORD000227,CUST05685,2024-12-03,Delivered,Mumbai
ORD000228,CUST10993,2025-07-17,Delivered,Hyderabad
ORD000229,CUST10527,2025-12-28,Delivered,Delhi
ORD000230,CUST04888,2025-04-13,Delivered,Mumbai
ORD000231,CUST02781,2024-01-27,Delivered,Mumbai
ORD000232,CUST05484,2025-01-22,Delivered,Delhi
ORD000233,CUST07300,2025-10-21,Cancelled,Bhopal
ORD000234,CUST07958,2025-10-22,Delivered,Kolkata
ORD000235,CUST03143,2025-12-30,Returned,Delhi
ORD000236,CUST10389,2025-11-10,Shipped,Patna
ORD000237,CUST09703,2025-09-19,Delivered,Mumbai
ORD000238,CUST11337,2024-05-23,Delivered,Vadodara
ORD000239,CUST11210,2025-09-07,Cancelled,Hyderabad
ORD000240,CUST07367,2024-01-15,Delivered,Vadodara
ORD000241,CUST05625,2025-03-24,Delivered,Vadodara
ORD000242,CUST11545,2025-02-08,Delivered,Guwahati
ORD000243,CUST08902,2025-09-06,Delivered,Pune
ORD000244,CUST08012,2025-07-20,Cancelled,Chennai
ORD000245,CUST02112,2025-10-08,Delivered,Visakhapatnam
ORD000246,CUST11544,2025-09-07,Delivered,Lucknow
ORD000247,CUST03826,2024-12-29,Delivered,Hyderabad
ORD000248,CUST07177,2024-06-14,Delivered,Jaipur
ORD000249,CUST10903,2024-11-03,Delivered,Mumbai
ORD000250,CUST08291,2025-05-27,Delivered,Mumbai
ORD000251,CUST00059,2024-02-19,Cancelled,Mumbai
ORD000252,CUST03114,2025-10-01,Delivered,Bengaluru
ORD000253,CUST09312,2025-04-16,Delivered,Bengaluru
ORD000254,CUST11176,2025-11-10,Delivered,Jaipur
ORD000255,CUST06095,2025-11-09,Delivered,Chandigarh
ORD000256,CUST11843,2025-05-06,Delivered,Jaipur
ORD000257,CUST09403,2025-12-21,Shipped,Ahmedabad
ORD000258,CUST06248,2025-12-07,Delivered,Chennai
ORD000259,CUST06024,2025-08-27,Delivered,Nagpur
ORD000260,CUST00328,2025-01-12,Shipped,Mumbai
ORD000261,CUST04667,2025-12-31,Shipped,Kanpur
ORD000262,CUST04897,2024-02-17,Returned,Delhi
ORD000263,CUST03993,2025-08-19,Delivered,Bengaluru
ORD000264,CUST08921,2024-08-14,Delivered,Chennai
ORD000265,CUST05247,2025-11-06,Delivered,Kolkata
ORD000266,CUST09270,2025-10-31,Delivered,Bhopal
ORD000267,CUST09485,2025-07-01,Shipped,Ludhiana
ORD000268,CUST08215,2024-03-11,Cancelled,Pune
ORD000269,CUST04869,2024-11-19,Delivered,Hyderabad
ORD000270,CUST03392,2025-04-20,Delivered,Vadodara
ORD000271,CUST10885,2025-07-29,Delivered,Rajkot
ORD000272,CUST11599,2025-10-18,Delivered,Chennai
ORD000273,CUST10234,2025-08-24,Cancelled,Bengaluru
ORD000274,CUST03718,2025-05-23,Returned,Bengaluru
ORD000275,CUST09618,2024-04-01,Delivered,Delhi
ORD000276,CUST05770,2025-05-20,Delivered,Lucknow
ORD000277,CUST10679,2025-02-17,Delivered,Ludhiana
ORD000278,CUST06615,2025-10-17,Delivered,Kolkata
ORD000279,CUST05375,2025-07-23,Delivered,Mumbai
ORD000280,CUST02050,2025-12-25,Returned,Noida
ORD000281,CUST10806,2025-03-17,Delivered,Delhi
ORD000282,CUST10839,2024-04-24,Returned,Gurugram
ORD000283,CUST09013,2025-07-11,Delivered,Pune
ORD000284,CUST04250,2025-08-20,Delivered,Mumbai
ORD000285,CUST01543,2025-02-10,Delivered,Thane
ORD000286,CUST09886,2025-07-31,Cancelled,Pune
ORD000287,CUST04555,2024-12-02,Delivered,Nagpur
ORD000288,CUST00446,2025-11-15,Delivered,Lucknow
ORD000289,CUST05469,2025-03-01,Delivered,Jaipur
ORD000290,CUST04105,2025-11-01,Delivered,Hyderabad
ORD000291,CUST10389,2025-03-29,Delivered,Patna
ORD000292,CUST11503,2025-02-17,Delivered,Kochi
ORD000293,CUST07599,2024-11-02,Delivered,Kolkata
ORD000294,CUST02558,2025-05-16,Delivered,Noida
ORD000295,CUST00656,2024-10-24,Delivered,Mumbai
ORD000296,CUST07366,2025-10-06,Delivered,Pune
ORD000297,CUST09498,2025-04-14,Delivered,Lucknow
ORD000298,CUST11230,2025-03-26,Delivered,Ahmedabad
ORD000299,CUST05053,2024-10-30,Delivered,Kochi
ORD000300,CUST06179,2024-10-22,Shipped,Bengaluru
ORD000301,CUST11878,2024-11-03,Delivered,Nashik
ORD000302,CUST09932,2025-04-13,Delivered,Mumbai
ORD000303,CUST00942,2025-12-19,Delivered,Jaipur
ORD000304,CUST09066,2024-12-27,Delivered,Ahmedabad
ORD000305,CUST11355,2025-05-11,Cancelled,Mumbai
ORD000306,CUST10546,2025-11-05,Cancelled,Noida
ORD000307,CUST05552,2024-11-08,Delivered,Bhopal
ORD000308,CUST02517,2025-05-24,Shipped,Chennai
ORD000309,CUST04330,2025-11-30,Delivered,Bengaluru
ORD000310,CUST02653,2025-06-15,Delivered,Chandigarh
ORD000311,CUST06798,2024-08-28,Delivered,Bhopal
ORD000312,CUST02248,2025-05-17,Delivered,Kolkata
ORD000313,CUST07465,2025-11-10,Delivered,Ahmedabad
ORD000314,CUST05249,2025-03-24,Delivered,Thane
ORD000315,CUST03226,2025-05-16,Delivered,Coimbatore
ORD000316,CUST11038,2025-10-25,Delivered,Noida
ORD000317,CUST10465,2024-04-05,Cancelled,Indore
ORD000318,CUST06925,2025-07-09,Delivered,Ghaziabad
ORD000319,CUST06480,2024-06-17,Delivered,Kochi
ORD000320,CUST03661,2024-07-09,Delivered,Lucknow
ORD000321,CUST06346,2025-12-31,Delivered,Delhi
ORD000322,CUST03400,2025-06-25,Shipped,Coimbatore
ORD000323,CUST08819,2025-10-12,Delivered,Ghaziabad
ORD000324,CUST07965,2025-05-31,Delivered,Kolkata
ORD000325,CUST10668,2024-01-05,Delivered,Nashik
ORD000326,CUST08339,2025-12-21,Delivered,Delhi
ORD000327,CUST01381,2024-08-16,Delivered,Mumbai
ORD000328,CUST01657,2025-07-18,Delivered,Pune
ORD000329,CUST08460,2025-08-18,Returned,Bengaluru
ORD000330,CUST04284,2024-09-11,Delivered,Bengaluru
ORD000331,CUST05841,2025-12-29,Delivered,Ludhiana
ORD000332,CUST09625,2025-06-05,Delivered,Hyderabad
ORD000333,CUST04903,2025-05-21,Delivered,Patna
ORD000334,CUST11949,2024-09-23,Delivered,Lucknow
ORD000335,CUST08691,2025-02-26,Delivered,Delhi
ORD000336,CUST07379,2025-10-02,Shipped,Kanpur
ORD000337,CUST00740,2025-10-17,Delivered,Pune
ORD000338,CUST04124,2025-10-27,Delivered,Coimbatore
ORD000339,CUST00735,2024-08-15,Delivered,Ahmedabad
ORD000340,CUST11011,2024-11-22,Returned,Mumbai
ORD000341,CUST05130,2025-09-18,Delivered,Thane
ORD000342,CUST04248,2024-09-15,Delivered,Kolkata
ORD000343,CUST01049,2025-08-24,Returned,Vadodara
ORD000344,CUST00520,2025-07-25,Delivered,Chennai
ORD000345,CUST09136,2025-02-08,Delivered,Kochi
ORD000346,CUST06847,2025-01-21,Cancelled,Hyderabad
ORD000347,CUST05644,2024-05-18,Delivered,Bengaluru
ORD000348,CUST03099,2024-11-02,Delivered,Noida
ORD000349,CUST11593,2025-08-01,Delivered,Mumbai
ORD000350,CUST03057,2024-12-19,Returned,Nagpur
ORD000351,CUST07961,2025-11-19,Delivered,Visakhapatnam
ORD000352,CUST04980,2025-11-16,Delivered,Bengaluru
ORD000353,CUST00467,2025-08-25,Delivered,Noida
ORD000354,CUST11161,2025-01-07,Delivered,Delhi
ORD000355,CUST08113,2025-12-31,Cancelled,Bengaluru
ORD000356,CUST09470,2025-11-11,Delivered,Delhi
ORD000357,CUST07381,2024-12-19,Cancelled,Mumbai
ORD000358,CUST09999,2024-09-04,Returned,Nagpur
ORD000359,CUST01664,2025-07-03,Delivered,Kochi
ORD000360,CUST07948,2025-10-23,Delivered,Rajkot
ORD000361,CUST02749,2024-10-17,Delivered,Hyderabad
ORD000362,CUST03661,2024-01-21,Delivered,Lucknow
ORD000363,CUST01923,2024-09-16,Shipped,Patna
ORD000364,CUST01295,2025-05-13,Delivered,Mumbai
ORD000365,CUST07114,2025-05-13,Delivered,Bhopal
ORD000366,CUST08770,2025-12-07,Delivered,Indore
ORD000367,CUST05032,2025-12-20,Delivered,Kolkata
ORD000368,CUST09965,2024-11-05,Delivered,Mumbai
ORD000369,CUST07742,2024-08-18,Delivered,Ahmedabad
ORD000370,CUST10359,2025-05-21,Returned,Hyderabad
ORD000371,CUST00211,2025-10-22,Delivered,Mumbai
ORD000372,CUST11215,2024-07-09,Delivered,Delhi
ORD000373,CUST01616,2024-01-19,Delivered,Thane
ORD000374,CUST11110,2024-08-16,Delivered,Delhi
ORD000375,CUST04289,2025-12-03,Delivered,Mumbai
ORD000376,CUST08353,2025-10-26,Delivered,Lucknow
ORD000377,CUST10811,2025-02-01,Shipped,Indore
ORD000378,CUST04656,2025-09-29,Delivered,Visakhapatnam
ORD000379,CUST11045,2025-03-25,Delivered,Jaipur
ORD000380,CUST03261,2024-10-21,Delivered,Pune
ORD000381,CUST09070,2024-11-13,Delivered,Hyderabad
ORD000382,CUST01177,2024-10-07,Delivered,Bhopal
ORD000383,CUST05881,2024-11-02,Delivered,Ahmedabad
ORD000384,CUST04326,2025-02-08,Delivered,Thane
ORD000385,CUST02134,2025-11-12,Delivered,Mumbai
ORD000386,CUST05979,2024-07-09,Delivered,Ghaziabad
ORD000387,CUST01586,2025-10-26,Returned,Hyderabad
ORD000388,CUST07724,2025-09-08,Shipped,Gurugram
ORD000389,CUST03975,2024-02-29,Delivered,Pune
ORD000390,CUST09649,2024-07-19,Delivered,Nagpur
ORD000391,CUST08505,2025-10-18,Delivered,Kolkata
ORD000392,CUST08310,2025-11-17,Returned,Indore
ORD000393,CUST04867,2024-01-29,Delivered,Jaipur
ORD000394,CUST07250,2025-04-26,Delivered,Lucknow
ORD000395,CUST06480,2025-01-17,Delivered,Kochi
ORD000396,CUST06600,2024-12-23,Delivered,Bengaluru
ORD000397,CUST10405,2025-03-31,Cancelled,Ludhiana
ORD000398,CUST11264,2024-10-12,Delivered,Ghaziabad
ORD000399,CUST01314,2024-03-23,Shipped,Mumbai
ORD000400,CUST00601,2024-08-16,Delivered,Chandigarh
ORD000401,CUST02390,2025-07-09,Cancelled,Gurugram
ORD000402,CUST01540,2024-07-02,Delivered,Bengaluru
ORD000403,CUST00079,2025-10-18,Delivered,Lucknow
ORD000404,CUST08253,2025-06-09,Shipped,Thane
ORD000405,CUST02272,2025-11-11,Delivered,Pune
ORD000406,CUST00568,2024-10-12,Delivered,Ghaziabad
ORD000407,CUST11000,2025-10-19,Delivered,Mumbai
ORD000408,CUST07217,2025-04-23,Cancelled,Chennai
ORD000409,CUST02095,2025-11-02,Delivered,Vadodara
ORD000410,CUST08917,2025-10-09,Delivered,Lucknow
ORD000411,CUST10805,2025-02-05,Returned,Hyderabad
ORD000412,CUST01535,2025-11-22,Delivered,Indore
ORD000413,CUST00337,2024-02-26,Delivered,Hyderabad
ORD000414,CUST07250,2025-01-15,Delivered,Lucknow
ORD000415,CUST06058,2025-04-06,Delivered,Ahmedabad
ORD000416,CUST07695,2024-09-13,Shipped,Mumbai
ORD000417,CUST03975,2025-07-29,Delivered,Pune
ORD000418,CUST01383,2024-11-06,Delivered,Kanpur
ORD000419,CUST06551,2025-10-17,Delivered,Ahmedabad
ORD000420,CUST06854,2024-10-16,Delivered,Bengaluru
ORD000421,CUST01421,2025-08-10,Cancelled,Kolkata
ORD000422,CUST07963,2025-06-14,Returned,Thane
ORD000423,CUST08449,2025-01-23,Delivered,Delhi
ORD000424,CUST05638,2025-04-17,Delivered,Kolkata
ORD000425,CUST07219,2025-04-27,Delivered,Pune
ORD000426,CUST08125,2025-12-01,Returned,Patna
ORD000427,CUST08188,2024-12-01,Delivered,Ludhiana
ORD000428,CUST11667,2025-10-24,Delivered,Chennai
ORD000429,CUST01202,2025-01-22,Delivered,Delhi
ORD000430,CUST00448,2025-10-07,Delivered,Bengaluru
ORD000431,CUST05838,2025-06-29,Delivered,Visakhapatnam
ORD000432,CUST08883,2025-07-02,Delivered,Bengaluru
ORD000433,CUST11585,2025-08-07,Shipped,Coimbatore
ORD000434,CUST06207,2024-11-17,Delivered,Pune
ORD000435,CUST10679,2024-02-08,Delivered,Ludhiana
ORD000436,CUST07795,2025-08-14,Returned,Vadodara
ORD000437,CUST08384,2024-10-04,Delivered,Mumbai
ORD000438,CUST01003,2024-05-24,Delivered,Pune
ORD000439,CUST03750,2024-04-19,Returned,Coimbatore
ORD000440,CUST00851,2025-09-25,Delivered,Kochi
ORD000441,CUST03632,2025-12-23,Delivered,Ghaziabad
ORD000442,CUST01020,2025-05-09,Delivered,Bengaluru
ORD000443,CUST09066,2025-05-31,Delivered,Ahmedabad
ORD000444,CUST02083,2025-12-26,Delivered,Kolkata
ORD000445,CUST01136,2024-10-18,Delivered,Mumbai
ORD000446,CUST01064,2025-12-20,Returned,Agra
ORD000447,CUST03401,2025-08-27,Delivered,Indore
ORD000448,CUST05514,2024-06-01,Delivered,Kochi
ORD000449,CUST08683,2025-10-15,Delivered,Mumbai
ORD000450,CUST00989,2025-12-04,Delivered,Hyderabad
ORD000451,CUST09965,2024-07-26,Delivered,Mumbai
ORD000452,CUST07637,2025-02-03,Delivered,Gurugram
ORD000453,CUST09143,2024-10-23,Delivered,Surat
ORD000454,CUST04528,2025-03-26,Delivered,Lucknow
ORD000455,CUST03412,2025-09-17,Returned,Delhi
ORD000456,CUST05027,2025-08-12,Delivered,Coimbatore
ORD000457,CUST02815,2024-10-08,Delivered,Surat
ORD000458,CUST02759,2025-08-27,Delivered,Kochi
ORD000459,CUST06978,2025-08-10,Delivered,Mumbai
ORD000460,CUST03349,2025-06-26,Delivered,Delhi
ORD000461,CUST07765,2025-08-20,Returned,Chennai
ORD000462,CUST01657,2025-08-20,Delivered,Pune
ORD000463,CUST08012,2025-12-30,Shipped,Chennai
ORD000464,CUST07408,2025-11-23,Shipped,Vadodara
ORD000465,CUST09551,2025-10-27,Delivered,Patna
ORD000466,CUST02845,2024-02-05,Delivered,Mumbai
ORD000467,CUST11280,2025-09-29,Delivered,Chennai
