order_id,return_date,return_reason,refund_amount
ORD003116,2025-11-18,Quality Issue,39241.55
ORD003128,2025-07-10,Damaged Product,15328.25
ORD003132,2024-10-23,Wrong Product,2939.04
ORD003154,2024-05-16,Changed Mind,5154.09
ORD003164,2025-07-12,Changed Mind,7535.23
ORD003165,2025-11-11,Late Delivery,3333.61
ORD003170,2025-01-09,Damaged Product,17005.84
ORD003208,2025-06-01,Size/Fit Issue,12656.99
ORD003230,2025-02-12,Quality Issue,1799.39
ORD003239,2025-12-04,Damaged Product,29915.88
ORD003256,2024-12-12,Damaged Product,4683.97
ORD003347,2025-08-25,Wrong Product,557.87
ORD003416,2025-03-21,Damaged Product,17820.14
ORD003443,2025-11-11,Wrong Product,49520.65
ORD003445,2024-10-13,Damaged Product,3338.55
ORD003487,2025-09-29,Damaged Product,15025.06
ORD003490,2024-01-16,Damaged Product,440.61
ORD003522,2025-10-09,Changed Mind,1880.95
ORD003525,2024-09-15,Changed Mind,2218.15
ORD003540,2025-11-05,Late Delivery,942.05
ORD003566,2025-10-08,Quality Issue,2366.13
ORD003569,2025-11-17,Size/Fit Issue,5802.97
ORD003617,2025-06-25,Damaged Product,5033.12
ORD003642,2024-04-25,Size/Fit Issue,9611.57
ORD003651,2025-12-22,Late Delivery,64764.5
ORD003671,2025-04-24,Late Delivery,34886.06
ORD003688,2024-08-30,Damaged Product,1021.42
ORD003693,2024-03-20,Quality Issue,500.16
ORD003714,2024-12-04,Wrong Product,31356.67
ORD003722,2025-07-22,Size/Fit Issue,3738.23
ORD003737,2025-07-06,Quality Issue,7605.31
ORD003763,2025-08-02,Changed Mind,779.73
ORD003779,2025-10-01,Damaged Product,76633.98
ORD003801,2024-06-12,Damaged Product,50057.68
ORD003803,2025-01-29,Damaged Product,25126.62
ORD003810,2025-06-13,Changed Mind,10515.65
ORD003824,2025-10-10,Quality Issue,44393.15
ORD003871,2025-10-08,Wrong Product,839.63
ORD003895,2025-09-14,Wrong Product,772.52
ORD003922,2025-07-16,Damaged Product,50131.25
ORD003923,2025-12-07,Damaged Product,126438.07
ORD003957,2025-12-14,Late Delivery,26356.12
ORD003959,2024-09-26,Damaged Product,3605.12
ORD003965,2025-12-21,Damaged Product,9076.02
ORD003970,2025-12-15,Size/Fit Issue,2244.96
ORD003972,2024-12-06,Changed Mind,4032.6
ORD003975,2025-10-24,Wrong Product,1871.28
ORD003977,2025-08-07,Damaged Product,5213.11
ORD003983,2025-05-23,Damaged Product,15556.59
ORD003988,2025-11-18,Late Delivery,3270.61
ORD004000,2025-05-15,Size/Fit Issue,1572.04
ORD004033,2025-10-24,Size/Fit Issue,6384.92
ORD004057,2024-11-08,Damaged Product,25675.88
ORD004063,2025-12-25,Size/Fit Issue,1735.59
ORD004065,2025-04-21,Size/Fit Issue,7555.68
ORD004101,2024-03-22,Damaged Product,9155.03
ORD004143,2025-12-23,Quality Issue,265469.05
ORD004156,2024-06-25,Changed Mind,6794.52
ORD004191,2025-11-16,Size/Fit Issue,3815.1
ORD004193,2025-07-14,Late Delivery,38835.19
ORD004197,2025-04-27,Changed Mind,7498.44
ORD004217,2025-09-29,Changed Mind,7127.63
ORD004232,2025-05-25,Damaged Product,26560.74
ORD004254,2025-02-28,Changed Mind,9576.45
ORD004263,2025-02-20,Damaged Product,6987.64
ORD004268,2025-12-23,Damaged Product,30209.08
ORD004287,2024-02-02,Quality Issue,4235.74
ORD004298,2025-10-11,Changed Mind,6724.9
ORD004319,2025-10-31,Size/Fit Issue,17578.24
ORD004336,2025-02-12,Size/Fit Issue,3203.26
ORD004364,2024-09-16,Size/Fit Issue,8140.64
ORD004371,2025-12-12,Damaged Product,9423.4
ORD004401,2024-12-15,Damaged Product,4860.78
ORD004406,2025-09-15,Quality Issue,42055.75
ORD004448,2025-07-31,Quality Issue,16043.41
ORD004461,2025-11-04,Damaged Product,2615.21
ORD004476,2025-06-24,Quality Issue,6519.94
ORD004477,2025-11-06,Size/Fit Issue,111051.04
ORD004493,2025-11-25,Size/Fit Issue,4354.7
ORD004500,2025-11-18,Wrong Product,1629.93
ORD004514,2024-08-31,Size/Fit Issue,1609.0
ORD004538,2024-12-06,Quality Issue,8123.18
ORD004544,2025-11-08,Damaged Product,2428.73
ORD004551,2024-06-06,Size/Fit Issue,3713.29
ORD004556,2025-03-30,Size/Fit Issue,26073.41
ORD004600,2025-10-29,Damaged Product,797.24
ORD004610,2024-12-22,Damaged Product,39087.17
ORD004635,2024-06-09,Damaged Product,7194.67
ORD004636,2025-07-13,Quality Issue,18422.02
ORD004646,2024-09-20,Damaged Product,45507.7
ORD004648,2025-03-15,Late Delivery,942.74
ORD004685,2025-07-29,Wrong Product,49573.6
ORD004687,2025-07-08,Damaged Product,1552.09
ORD004693,2024-08-09,Late Delivery,517.41
ORD004702,2025-04-08,Quality Issue,1092.15
ORD004709,2026-01-06,Changed Mind,2730.76
ORD004711,2025-10-27,Wrong Product,23063.0
ORD004722,2025-06-07,Late Delivery,4813.49
ORD004735,2025-09-28,Changed Mind,31849.46
ORD004741,2025-05-03,Late Delivery,4591.87
ORD004745,2025-04-02,Damaged Product,13490.95
ORD004747,2025-09-25,Quality Issue,338.18
ORD004749,2025-06-02,Changed Mind,1015.8
ORD004777,2025-01-09,Size/Fit Issue,10570.05
ORD004807,2025-07-29,Damaged Product,3234.15
ORD004813,2025-12-30,Wrong Product,16447.13
ORD004839,2025-11-07,Changed Mind,941.81
ORD004841,2025-05-31,Size/Fit Issue,8858.79
ORD004842,2025-05-31,Size/Fit Issue,2094.98
ORD004873,2025-03-17,Size/Fit Issue,2106.49
ORD004878,2024-07-08,Quality Issue,8170.62
ORD004901,2024-08-17,Size/Fit Issue,3904.12
ORD004909,2025-01-23,Damaged Product,107619.39
ORD004916,2025-10-02,Size/Fit Issue,4129.49
ORD004935,2025-09-29,Quality Issue,91953.31
ORD004951,2025-10-05,Changed Mind,5821.54
ORD004961,2024-10-24,Quality Issue,18503.86
ORD005012,2025-01-24,Quality Issue,7412.71
ORD005032,2025-12-09,Size/Fit Issue,7599.34
ORD005036,2025-09-08,Changed Mind,7821.22
ORD005053,2025-10-01,Quality Issue,11687.21
ORD005055,2025-10-11,Size/Fit Issue,544.27
ORD005072,2025-12-30,Late Delivery,33492.91
ORD005084,2025-11-14,Wrong Product,30483.24
ORD005089,2025-05-30,Quality Issue,2715.65
ORD005091,2024-03-31,Changed Mind,378.38
ORD005104,2024-04-06,Damaged Product,22491.49
ORD005108,2024-10-18,Late Delivery,3191.26
ORD005120,2025-09-25,Changed Mind,6708.46
ORD005132,2025-08-08,Size/Fit Issue,726.71
ORD005140,2024-04-09,Size/Fit Issue,27063.96
ORD005149,2025-02-16,Quality Issue,7491.99
ORD005154,2025-09-26,Wrong Product,6028.47
ORD005159,2024-10-16,Late Delivery,15567.21
ORD005197,2024-06-26,Wrong Product,13845.47
ORD005207,2025-11-07,Size/Fit Issue,874.49
ORD005253,2025-07-21,Size/Fit Issue,2053.71
ORD005276,2025-07-27,Quality Issue,14829.75
ORD005283,2025-10-09,Late Delivery,11363.18
ORD005289,2025-11-10,Size/Fit Issue,3106.17
ORD005295,2025-10-16,Quality Issue,12872.61
ORD005296,2025-06-09,Changed Mind,70751.61
ORD005300,2025-12-09,Size/Fit Issue,16410.68
ORD005313,2024-08-27,Late Delivery,4820.04
ORD005315,2025-08-07,Size/Fit Issue,4233.05
ORD005320,2025-09-16,Changed Mind,293.46
ORD005324,2025-12-05,Size/Fit Issue,4747.41
ORD005333,2024-11-11,Changed Mind,2150.71
ORD005337,2024-10-21,Changed Mind,419.1
ORD005348,2025-01-29,Quality Issue,31415.75
ORD005351,2024-12-13,Wrong Product,7344.71
ORD005360,2025-11-29,Quality Issue,27424.47
ORD005371,2025-12-07,Late Delivery,59644.15
ORD005375,2025-10-18,Changed Mind,2692.35
ORD005388,2025-07-09,Size/Fit Issue,18632.39
ORD005389,2025-06-20,Size/Fit Issue,21891.01
ORD005406,2025-04-09,Wrong Product,1758.64
ORD005407,2024-09-14,Quality Issue,4175.47
ORD005426,2025-10-13,Quality Issue,6397.26
ORD005428,2025-10-17,Late Delivery,300.85
ORD005436,2025-05-26,Quality Issue,18465.47
ORD005478,2025-09-06,Quality Issue,3244.14
ORD005480,2025-10-12,Quality Issue,6348.84
ORD005496,2024-01-22,Damaged Product,757.28
ORD005499,2025-02-04,Damaged Product,23613.92
ORD005502,2025-09-23,Changed Mind,4818.93
ORD005512,2025-02-23,Quality Issue,17942.42
ORD005513,2025-09-01,Quality Issue,843.7
ORD005548,2025-06-03,Damaged Product,12301.11
ORD005554,2024-09-29,Changed Mind,15601.68
ORD005561,2024-09-30,Damaged Product,5066.45
ORD005582,2025-03-15,Damaged Product,8201.57
ORD005583,2025-01-13,Size/Fit Issue,27573.92
ORD005590,2026-01-03,Damaged Product,17028.21
ORD005603,2025-11-27,Damaged Product,4868.63
ORD005627,2025-07-06,Quality Issue,2963.36
ORD005665,2024-09-04,Changed Mind,39471.16
ORD005721,2025-02-18,Quality Issue,2128.97
ORD005744,2024-09-16,Wrong Product,15893.87
ORD005764,2025-08-07,Size/Fit Issue,3093.59
ORD005776,2025-08-25,Damaged Product,4062.63
ORD005793,2025-12-09,Wrong Product,565.89
ORD005794,2025-10-12,Wrong Product,8183.23
ORD005823,2025-06-09,Damaged Product,400.73
ORD005849,2024-09-07,Quality Issue,9974.93
ORD005856,2024-05-30,Damaged Product,1577.96
ORD005866,2025-03-13,Changed Mind,2065.94
ORD005867,2025-12-21,Damaged Product,669.43
ORD005888,2025-09-09,Quality Issue,1277.24
ORD005934,2025-06-19,Damaged Product,9166.91
ORD005938,2024-02-04,Late Delivery,3370.98
ORD005948,2025-03-14,Wrong Product,20525.88
ORD005951,2025-08-19,Changed Mind,2562.5
ORD005953,2025-06-05,Late Delivery,22172.86
ORD005982,2024-11-28,Changed Mind,45767.32
ORD005986,2024-07-13,Changed Mind,1557.05
ORD005999,2025-05-05,Wrong Product,9475.62
ORD006012,2025-01-28,Wrong Product,20850.48
ORD006032,2025-06-14,Size/Fit Issue,1611.61
ORD006055,2025-03-02,Changed Mind,27225.18
ORD006079,2024-11-12,Damaged Product,3058.9
ORD006084,2025-07-31,Wrong Product,15858.18
ORD006091,2025-07-25,Damaged Product,7996.46
ORD006101,2024-12-03,Quality Issue,25641.01
ORD006115,2025-08-04,Damaged Product,24165.77
ORD006116,2025-09-02,Damaged Product,84348.51
ORD006123,2025-10-11,Damaged Product,39224.39
ORD006152,2024-10-10,Damaged Product,12061.22
ORD006153,2025-02-01,Damaged Product,49592.83
ORD006154,2025-12-12,Wrong Product,4167.77
ORD006155,2025-06-06,Damaged Product,48334.26
ORD006168,2025-12-01,Changed Mind,18895.06
ORD006178,2025-08-16,Changed Mind,4177.23
ORD006192,2025-12-08,Quality Issue,33626.85
ORD006197,2025-09-29,Late Delivery,30640.84
ORD006210,2025-10-01,Late Delivery,7174.55
ORD006211,2025-08-27,Quality Issue,10715.02
ORD006216,2025-04-20,Wrong Product,1749.66
ORD006218,2025-12-06,Quality Issue,8198.55
ORD006223,2025-12-28,Size/Fit Issue,6838.54
ORD006229,2025-11-04,Quality Issue,51767.07
ORD006244,2025-10-06,Size/Fit Issue,650.09
ORD006259,2025-12-22,Changed Mind,4876.33
ORD006272,2025-10-06,Wrong Product,2412.23
ORD006274,2024-10-23,Quality Issue,5182.85
ORD006289,2025-09-04,Quality Issue,210182.64
ORD006297,2024-08-28,Changed Mind,25932.4
ORD006315,2024-08-01,Wrong Product,22677.91
ORD006321,2025-08-20,Damaged Product,123.0
ORD006353,2025-10-25,Wrong Product,1411.13
ORD006391,2025-06-11,Quality Issue,15899.58
ORD006423,2025-06-13,Wrong Product,19693.22
ORD006434,2025-06-01,Quality Issue,5930.58
ORD006442,2025-08-02,Changed Mind,16122.08
ORD006444,2024-11-08,Wrong Product,1921.25
ORD006456,2025-06-10,Late Delivery,657.86
ORD006469,2025-02-06,Quality Issue,18091.93
ORD006478,2025-11-01,Size/Fit Issue,9724.23
ORD006503,2025-10-11,Quality Issue,5452.11
ORD006508,2025-10-01,Size/Fit Issue,909.19
ORD006511,2025-04-01,Size/Fit Issue,4191.03
ORD006542,2025-09-18,Changed Mind,22485.35
ORD006557,2025-05-19,Size/Fit Issue,10629.83
ORD006562,2026-01-05,Late Delivery,7190.66
ORD006567,2025-04-04,Size/Fit Issue,1645.1
ORD006583,2025-12-14,Damaged Product,13121.09
ORD006597,2024-02-27,Quality Issue,1449.24
ORD006602,2024-04-10,Size/Fit Issue,885.5
ORD006636,2024-11-06,Late Delivery,58860.99
ORD006645,2025-10-24,Quality Issue,8703.11
ORD006667,2026-01-01,Quality Issue,7284.93
ORD006684,2024-12-13,Quality Issue,19972.75
ORD006696,2024-12-21,Changed Mind,10729.97
ORD006702,2025-05-24,Size/Fit Issue,3108.19
ORD006709,2024-06-06,Damaged Product,708.88
ORD006716,2025-10-15,Damaged Product,10610.33
ORD006759,2025-10-10,Wrong Product,677.44
ORD006761,2025-11-11,Wrong Product,26236.75
ORD006763,2025-03-12,Damaged Product,12771.03
ORD006792,2025-12-03,Quality Issue,845.02
ORD006833,2025-12-12,Quality Issue,10535.82
ORD006839,2025-11-27,Changed Mind,7119.28
ORD006848,2024-06-11,Size/Fit Issue,1287.17
ORD006852,2025-05-18,Changed Mind,9629.46
ORD006914,2025-09-30,Quality Issue,9268.41
ORD006920,2025-04-27,Quality Issue,163.97
ORD006925,2025-05-23,Changed Mind,11131.54
ORD006961,2024-02-25,Size/Fit Issue,2028.86
ORD006972,2025-11-18,Changed Mind,1587.85
ORD006984,2025-12-22,Size/Fit Issue,282.25
ORD007043,2025-01-21,Size/Fit Issue,37970.42
ORD007078,2024-10-04,Damaged Product,8537.48
ORD007121,2025-04-24,Size/Fit Issue,114222.63
ORD007126,2025-10-19,Wrong Product,31868.29
ORD007128,2025-10-29,Changed Mind,5930.63
ORD007137,2025-11-02,Late Delivery,7135.19
ORD007140,2024-09-01,Changed Mind,15073.38
ORD007168,2025-11-21,Wrong Product,14415.48
ORD007197,2025-10-10,Quality Issue,20277.93
ORD007208,2025-10-23,Damaged Product,4355.51
ORD007217,2025-02-06,Quality Issue,6080.14
ORD007221,2025-09-01,Changed Mind,168568.79
ORD007239,2025-06-30,Quality Issue,11642.64
ORD007246,2024-11-11,Size/Fit Issue,6115.3
ORD007266,2025-11-04,Changed Mind,2552.84
ORD007292,2025-01-29,Changed Mind,30961.1
ORD007294,2025-11-20,Late Delivery,5382.45
ORD007347,2025-05-17,Changed Mind,23496.44
ORD007353,2025-09-11,Late Delivery,188567.86
ORD007365,2024-10-22,Late Delivery,83710.33
ORD007369,2025-09-09,Damaged Product,325.79
ORD007382,2025-09-12,Wrong Product,15595.44
ORD007405,2025-09-14,Wrong Product,9125.89
ORD007419,2026-01-06,Damaged Product,4359.49
ORD007463,2025-09-25,Quality Issue,1986.33
ORD007480,2025-12-22,Size/Fit Issue,17648.37
ORD007482,2025-06-27,Wrong Product,725.88
ORD007509,2025-11-29,Wrong Product,2655.65
ORD007515,2025-11-11,Quality Issue,3017.64
ORD007523,2025-08-22,Wrong Product,12884.64
ORD007543,2025-04-13,Damaged Product,1227.9
ORD007544,2025-06-29,Damaged Product,2106.76
ORD007555,2025-10-12,Wrong Product,3569.89
ORD007563,2025-08-16,Late Delivery,1856.12
ORD007574,2024-01-31,Changed Mind,4382.5
ORD007577,2025-02-24,Quality Issue,1436.76
ORD007596,2024-12-27,Size/Fit Issue,62565.45
ORD007597,2024-04-05,Changed Mind,581.24
ORD007604,2025-07-05,Quality Issue,507.37
ORD007607,2025-11-14,Size/Fit Issue,2792.47
ORD007615,2025-08-31,Changed Mind,27280.6
ORD007627,2025-10-08,Changed Mind,5770.38
ORD007653,2025-05-17,Damaged Product,72178.97
ORD007658,2025-08-15,Quality Issue,4414.23
ORD007702,2025-11-06,Wrong Product,9940.99
ORD007708,2024-07-19,Damaged Product,10731.02
ORD007716,2025-03-10,Size/Fit Issue,13391.74
ORD007721,2025-09-16,Size/Fit Issue,1500.44
